"Paul-Henri Spaak","1899-1-25"," Belgian statesman and leader in European integration"
"Edwin Newman","1919-1-25"," newscaster"
"Lou (the Toe) Groza","1924-1-25"," AAFC and NFL tackle and kicker (Cleveland Browns)"
"Corazon Aquino","1933-1-25"," )"
"Elizabeth Allen","1934-1-25"," in New Jersey"
"Dean Jones","1935-1-25"," Actor (Love Bug and That Darn Cat)"
"Leigh Taylor Young","1945-1-25"," in Washington DC"
"Claude Helvetius","1715-1-26"," French philosopher"
"Charles XIV","1763-1-26"," French marshall and king of Sweden & Norway (1818-44)"
"Julia Dent Grant","1826-1-26"," 1st lady"
"Writer Mary Dodge","1831-1-26"," ('Hans Brinker & the Silver Skates')"
"Gen Douglas MacArthur","1880-1-26"," he did return!"
"Sean MacBride","1904-1-26"," Irish statesman and minister (Nobel Peace Prize 1974)"
"Jimmy Van Heusen","1913-1-26"," songwriter"
"Nicolae Ceausescu","1918-1-26"," Rumanian president"
"Anne Jeffereys","1923-1-26"," in North Carolina"
"Joan Leslie","1925-1-26"," Actress"
"Paul Newman","1925-1-26"," Actor (Hud - Hombre - Hustler) and racer & popcorn mogul"
"Eartha Kitt","1928-1-26"," in South Carolina"
"Roger Vadim","1928-1-26"," Director"
"Jules Feiffer","1929-1-26"," cartoonist (Passionella)"
"Mary Murphy","1931-1-26","Mary Murphy"
"Bob Uecker","1935-1-26"," Sports personality"
"Angela Davis","1944-1-26"," black activist"
"Wayne Gretzky","1961-1-26"," Edmonton Oiler"
"Wolfgang Amadeus Mozart","1756-1-27"," musical prodigy and Salzburg Austria"
"Edouard Lalo","1823-1-27"," French composer (Symphonie espagnole)"
"Charles Lutwidge Dodgson","1832-1-27"," (you know him as Lewis Carroll)"
"Dmitri Mendeleev","1834-1-27"," discoverer of periodic table (or 1919)"
"Samuel Gompers","1850-1-27"," 1st pres of AFL"
"Jerome Kern","1885-1-27"," Broadway composer"
"Ilya Ehrenburg","1891-1-27"," Soviet writer"
"Fritz Pollard","1894-1-27"," early black NFL star (1920-26)"
"Admiral Hyman G Rickover","1900-1-27"," father of modern nuclear navy"
"Art Rooney","1901-1-27"," NFL team owner (Pittsburgh)"
"Benay Venuta","1911-1-27"," Actress"
"Skitch Henderson","1918-1-27"," Bandleader"
"Donna Reed","1921-1-27"," in Denison Iowa"
"Joe Perry","1927-1-27"," AAFC and NFL fullback (SF 49ers and Baltimore Colts)"
"Ingrid Thulin","1929-1-27"," in Sweden"
"Troy Donahue","1936-1-27"," Actor (Cockfighter and Grandview USA)"
"Henry VII","1457-1-28"," king of England (1485-1509)"
"Johannes Hevelius","1611-1-28"," Danzig star cataloguer"
"Alexander MacKenzie","1822-1-28"," 2nd prime minister of Canada (1873-78)"
"Henry Stanley","1841-1-28"," explorer who found Livingstone"
"Jose Marti","1853-1-28"," Cuban poet and essayist and politician"
"William Seward Burroughs","1855-1-28"," inventor of recording adding machine"
"Ozaki Koyo","1869-1-28"," Japanese novelist and essayist and haiku poet (The Heart)"
"Auguste & Jean Felix Piccard","1884-1-28"," Swiss scientists and explorers"
"Artur Rubinstein","1887-1-28"," pianist"
"Robert W Holley","1922-1-28"," American biochemist and worked with tRNA (Nobel '68)"
"Claes Oldenburg","1929-1-28"," sculptor"
"Susan Sontag","1933-1-28"," author and film director"
"Alan Alda","1936-1-28"," Actor (Hawkeye Pierce)"
"Mikhail Baryshnikov","1948-1-28"," ballet dancer"
"Emanuel Swedenborg","1688-1-29"," Swedish religious leader"
"Thomas Paine","1737-1-29"," political essayist (Common Sense and Age of Reason)"
"Henry (Light Horse Harry) Lee","1756-1-29"," cavalryman"
"William McKinley","1843-1-29"," (R) 24th US pres (1897-1901)"
"Lawrence Hargrave","1850-1-29"," invented box kite"
"Anton Chekhov","1860-1-29"," writer (The Cherry Orchard)"
"Frederick Delius","1862-1-29"," English composer"
"Romain Rolland","1866-1-29"," French writer (Jean-Christophe) (Nobel 1915)"
"John D Rockefeller Jr","1874-1-29"," financier"
"Claude William Dukenfield","1880-1-29"," (better known as WC Fields)"
"Allen B DuMont","1901-1-29"," perfected 1st coml practical cathode ray tube"
"Victor Mature","1916-1-29"," Actor (One Million BC and Robe)"
"John Forsythe","1918-1-29"," Actor"
"Germaine Greer","1939-1-29"," in Melbourne Australia"
"Claudine Longet","1942-1-29"," in France - Former Mrs Andy Williams"
"Katharine Ross","1943-1-29"," in Hollywood Cal"
